Alamat,Industri,SubIndustri,Email,Fax,KegiatanUsahaUtama,KodeEmiten,NPWP,PapanPencatatan,Sektor,SubSektor,TanggalPencatatan,Telepon,Website,Logo,NamaEmiten
"UNIPLAZA, EAST TOWER, LANTAI 3 JALAN LETJEND. HARYONO MT NO. A-1 MEDAN 20231 SUMUT - INDONESIA",FORESTRY & PAPER,PAPER,investor_relation@tobapulp.com,+62 61 453 0967,PULP AND PAPER,INRU,01.219.795.0-054.000,DEVELOPMENT,BASIC MATERIALS,BASIC MATERIALS,1990-06-18T00:00:00,+62 61 453 2088,www.tobapulp.com,/Portals/0/StaticData/ListedCompanies/LogoEmiten/INRU.jpg,TOBA PULP LESTARI TBK
"JL. RAYA CAKUNG CILINCING KM 3,5, RT 005, RW 010, SEMPER TIMUR, CILINCING, JAKARTA UTARA, DKI JAKARTA RAYA, 14130",MACHINERY,CONSTRUCTION MACHINERY & HEAVY VEHICLES,corpsec@intracopenta.com,021-4419330; 021-4413882,PERDAGANGAN ALAT BERAT,INTA,01.305.691.6-091.000,WATCHLIST,INDUSTRIALS,INDUSTRIAL GOODS,1993-08-23T00:00:00,021-4401408,www.intracopenta.com,/Portals/0/StaticData/ListedCompanies/LogoEmiten/INTA.jpg,INTRACO PENTA TBK
JL. GAYA MOTOR BARAT SUNTER II JAKARTA UTARA 14330,FORESTRY & PAPER,PAPER,corpsecr@interdelta.co.id,021 6510472,PERDAGANGAN DAN PHOTOGRAF,INTD,01.300.809.9-054.000,DEVELOPMENT,BASIC MATERIALS,BASIC MATERIALS,1989-12-18T00:00:00,021 6523333,www.inter-delta.co.id,/Portals/0/StaticData/ListedCompanies/LogoEmiten/INTD.jpg,INTER-DELTA TBK
"WISMA INDOCEMENT LANTAI 13, JALAN JENDERAL SUDIRMAN KAV. 70-71 JAKARTA 12910",CONSTRUCTION MATERIALS,CONSTRUCTION MATERIALS,corpsec@indocement.co.id,021-87941166,PRODUKSI SEMEN,INTP,01.062.119.1-092.000,MAIN,BASIC MATERIALS,BASIC MATERIALS,1989-12-05T00:00:00,021-8754343 ext 3808,http://www.indocement.co.id,/Portals/0/StaticData/ListedCompanies/LogoEmiten/INTP.jpg,INDOCEMENT TUNGGAL PRAKARSA TBK
TCC BATAVIA TOWER ONE LANTAI 8 SUITE 3-5JL. K.H. MAS MANSYUR KAV. 126JAKARTA PUSAT 10220,REAL ESTATE MANAGEMENT & DEVELOPMENT,REAL ESTATE DEVELOPMENT & MANAGEMENT,corsec@eraindonesia.com,(021) 570 4776 / (021) 570 8082,WARALABA DAN JASA AGEN REAL ESTAT,IPAC,01.567.150.6-022.000,ACCELERATION,PROPERTIES & REAL ESTATE,PROPERTIES & REAL ESTATE,2021-06-30T00:00:00,(021) 570 8000 / (021) 2967 5123,www.eraindonesia.com,/Portals/0/StaticData/ListedCompanies/LogoEmiten/IPAC.jpg,PT ERA GRAHAREALTY TBK
"JL. SINDANG LAUT NO. 100, RT 006 RW 008 KALIBARU, CILINCING",TRANSPORT INFRASTRUCTURE OPERATOR,MARINE PORTS & SERVICES,corsec.ipcc1@gmail.com,021-4393 2250,"BONGKAR MUAT BARANG DARI DAN KE KAPAL, MELIPUTI CARGODORING, RECEIVING-DELIVERY DAN STEVEDORING",IPCC,03.276.301.3-093.000,MAIN,INFRASTRUCTURES,TRANSPORTATION INFRASTRUCTURE,2018-07-09T00:00:00,021-4393 2251,www.indonesiacarterminal.co.id,/Portals/0/StaticData/ListedCompanies/LogoEmiten/IPCC.jpg,PT INDONESIA KENDARAAN TERMINAL TBK
"PELINDO TOWER LT. 8 DAN 9, JL. YOS SUDARSO NO.9, RAWABADAK UTARA, KOJA, JAKARTA UTARA 14230",TRANSPORT INFRASTRUCTURE OPERATOR,MARINE PORTS & SERVICES,corsec@ipcmarine.co.id,-,"BERGERAK DI BIDANG USAHA JASA PENYELENGGARAAN DAN PENGUSAHAAN JASA KAPAL, PENUMPANG, BARANG, DAN KEGIATAN JASA TERKAIT DENGAN KEPELABUHANAN",IPCM,03.276.306.2-093.000,DEVELOPMENT,INFRASTRUCTURES,TRANSPORTATION INFRASTRUCTURE,2017-12-22T00:00:00,(021) 430 6789,www.ipcmarine.co.id,/Portals/0/StaticData/ListedCompanies/LogoEmiten/IPCM.jpg,PT JASA ARMADA INDONESIA TBK
"WISMA INDOCEMENT, LANTAI 6, JALAN JENDERAL SUDIRMAN KAV. 70-71, JAKARTA SELATAN 12910",CONTAINERS & PACKAGING,CONTAINERS & PACKAGING,corpsec@indopoly.co.id,021- 5224001,INDUSTRI PLASTIK LEMBARAN DAN PERDAGANGAN,IPOL,01.071.005.1-054.000,DEVELOPMENT,BASIC MATERIALS,BASIC MATERIALS,2010-07-09T00:00:00,021- 2510088,www.ilenefilms.com,/Portals/0/StaticData/ListedCompanies/LogoEmiten/IPOL.jpg,INDOPOLY SWAKARSA INDUSTRY TBK
"MNC TOWER LANTAI 27, JL. KEBON SIRIH NO. 17-19, RT/RW 015/007 KEL. KEBON SIRIH, KEC. MENTENG JAKARTA PUSAT",MEDIA,CABLE & SATELLITE,corsec.mvn@mncgroup.com,"(021) 392-7859, 390-9207","TV BERBAYAR, FIXED BROADBAND DAN LAYANAN KONTEN DIGITAL",IPTV,02.614.651.4-021.000,WATCHLIST,CONSUMER CYCLICALS,MEDIA & ENTERTAINMENT,2019-07-08T00:00:00,"(021) 390-9211, 390-0310",www.mncvisionnetworks.com,/Portals/0/StaticData/ListedCompanies/LogoEmiten/IPTV.jpg,PT MNC VISION NETWORKS TBK
"GEDUNG MT. HARYONO SQUARE LT. 1 UNIT I, JL. OTTO ISKANDARDINATA RAYA NO. 390 BIDARA CINA, JATINEGARA, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA 13330",HEALTHCARE EQUIPMENT & SUPPLIES,HEALTHCARE SUPPLIES & DISTRIBUTIONS,corsec@itama.co.id,(021) 29067208,"PERDAGANGAN BESAR ALAT LABORATORIUM, ALAT FARMASI DAN ALAT KEDOKTERAN UNTUK MANUSIA",IRRA,01.385.934.3-007.000,DEVELOPMENT,HEALTHCARE,HEALTHCARE EQUIPMENT & PROVIDERS,2019-10-15T00:00:00,(021) 29067207,http://itama.co.id/,/Portals/0/StaticData/ListedCompanies/LogoEmiten/IRRA.jpg,PT ITAMA RANORAYA TBK
JL. MEDAN MERDEKA BARAT NO.21 JAKARTA 10110,WIRELESS TELECOMMUNICATION SERVICES,WIRELESS TELECOMMUNICATION SERVICES,investor@indosatooredoo.com,(021) 3000 3757,TELEKOMUNIKASI,ISAT,01.000.502.3-051.000,MAIN,INFRASTRUCTURES,TELECOMMUNICATION,1994-10-19T00:00:00,(021) 3000 3001,indosatooredoo.com,/Portals/0/StaticData/ListedCompanies/LogoEmiten/ISAT.jpg,PT INDOSAT TBK
JL. KALIBUTUH 189-191 SURABAYA 60173-JAWA TIMUR,METALS & MINERALS,IRON & STEEL,corsec@spindo.co.id,"(031) 5310712, 5320290",INDUSTRI PIPA BAJA,ISSP,01.001.732.5-092.000,MAIN,BASIC MATERIALS,BASIC MATERIALS,2013-02-22T00:00:00,"(031) 5320921, 5316921",www.spindo.com,/Portals/0/StaticData/ListedCompanies/LogoEmiten/ISSP.jpg,PT STEEL PIPE INDUSTRY OF INDONESIA TBK
"SOPO DEL OFFICE & LIFESTYLE TOWER B, LANTAI 21 JL. MEGA KUNINGAN BARAT III, LOT.10 1-6, KAWASAN MEGA KUNINGAN JAKARTA SELATAN12950","OIL, GAS & COAL SUPPORTS","OIL, GAS & COAL EQUIPMENT & SERVICES",corporate.secretary@energi-andalan.co.id,+62 21 50815253,"KONSULTASI, PERTAMBANGAN",ITMA,01.454.030.6-054.000,DEVELOPMENT,ENERGY,"OIL, GAS & COAL",1990-12-10T00:00:00,+62 21 50815254,https://www.energi-andalan.co.id/,/Portals/0/StaticData/ListedCompanies/LogoEmiten/ITMA.jpg,SUMBER ENERGI ANDALAN TBK
"PONDOK INDAH OFFICE TOWER III, 3RD FLOOR JL. SULTAN ISKANDAR MUDA PONDOK INDAH KAV. V-TA JAKARTA SELATAN 12310",COAL,COAL PRODUCTION,-,021 - 2932 7999,PERTAMBANGAN BATUBARA(COAL MINING),ITMG,01.332.590.7-091.000,MAIN,ENERGY,"OIL, GAS & COAL",2007-12-18T00:00:00,021 - 2932 8100,-,/Portals/0/StaticData/ListedCompanies/LogoEmiten/ITMG.jpg,INDO TAMBANGRAYA MEGAH TBK
"E-TRADE BUILDING LT. 5 SUITE B JLN. K.H. WAHID HASYIM NO. 55, GONDANGDIA, MENTENG JAKARTA PUSAT 10350",TELECOMMUNICATION SERVICE,WIRED TELECOMMUNICATION SERVICE,corpsec@jasnita.co.id,021-391 6282,"PERDAGANGAN BESAR PERALATAN TELEKOMUNIKASI, AKTIVITAS TELEKOMUNIKASI DENGAN KABEL, AKTIVITAS TELEKOMUNIKASI TANPAKABEL, AKTIVITAS TELEKOMUNIKASI SATELIT, INTERNET SERVICE PROVIDER, JASA SISTIM KOMUNIKASI, AKTIVITAS HOSTING DAN YANGBERKAITAN DENGAN ITU, PORTAL WEB DAN/ATAU PLATFORM DIGITAL DENGAN TUJUAN KOMERSIAL, AKTIVITAS CALL CENTRE",JAST,01.770.132.7-076.000,DEVELOPMENT,INFRASTRUCTURES,TELECOMMUNICATION,2019-05-16T00:00:00,021-2856 5288,www.jasnita.co.id,/Portals/0/StaticData/ListedCompanies/LogoEmiten/JAST.jpg,PT JASNITA TELEKOMINDO TBK
GEDUNG GRAHA DINAMIKA LANTAI 2 JALAN TANAH ABANG II NO 49-51 JAKARTA 10160,AGRICULTURAL PRODUCTS,PLANTATIONS & CROPS,corsec@jawattie.com,-,"JASA PENGELOLAAN DAN PERDAGANGAN DI BIDANG PERKEBUNAN DAN PENGOLAHAN KARET, KELAPA SAWIT, KOPI, DAN TEH TERPADU",JAWA,0013 6092 2705 4000,DEVELOPMENT,CONSUMER NON-CYCLICALS,FOOD & BEVERAGE,2011-05-30T00:00:00,"021-3505906 , 021-65867525",www.jawattie.co.id,/Portals/0/StaticData/ListedCompanies/LogoEmiten/JAWA.jpg,JAYA AGRA WATTIE TBK
"GREEN SEDAYU BIZPARK CAKUNG GS 7 NOMOR 19, RUKUN TETANGGA 000, RW 006, KELURAHAN CAKUNG TIMUR, KECAMATAN CAKUNG, KOTA ADMINISTRASI JAKARTA TIMUR,13910",LOGISTICS & DELIVERIES,LOGISTICS & DELIVERIES,corporate@armadaberjaya.com,0,ANGKUTAN BERMOTOR UNTUK BARANG UMUM,JAYA,03.250.433.4-047.000,DEVELOPMENT,TRANSPORTATION & LOGISTIC,LOGISTICS & DELIVERIES,2019-02-21T00:00:00,"021-4609433, 4609403",www.armadaberjaya.com,/Portals/0/StaticData/ListedCompanies/LogoEmiten/JAYA.jpg,PT ARMADA BERJAYA TRANS TBK
JL. PAJAJARAN DS. GANDASARI KEC. JATIUWUNG TANGERANG 15137,ELECTRICAL,ELECTRICAL COMPONENTS & EQUIPMENT,antonius_benady@jembo.com,(021) 26646934,INDUSTRI KABEL,JECC,01.120.419.5-054.000,DEVELOPMENT,INDUSTRIALS,INDUSTRIAL GOODS,1992-11-18T00:00:00,(021) 26646933,http://www.jembo.com,/Portals/0/StaticData/ListedCompanies/LogoEmiten/JECC.jpg,JEMBO CABLE COMPANY TBK
BOGOR NIRWANA RESIDENCE JL. BOGOR NIRWANA RAYA (DEREDED - PAHLAWAN) BOGOR 16132,TOURISM & RECREATION,"HOTELS, RESORTS & CRUISE LINES",info@jungleseries.co.id,0251-8211295,PEMBANGUNAN DAN PENGELOLAAN TAMAN HIBURAN/REKREASI SERTA PEMBANGUNAN DAN PERDAGANGAN REAL ESTATE/PROPERTY.,JGLE,01.332.635.0-431.000,WATCHLIST,CONSUMER CYCLICALS,CONSUMER SERVICES,2016-06-29T00:00:00,0251-8211290,www.jungleseries.co.id,/Portals/0/StaticData/ListedCompanies/LogoEmiten/JGLE.jpg,PT GRAHA ANDRASENTRA PROPERTINDO TBK
GEDUNG ARTHA GRAHA LT. 15 JL. JEND. SUDIRMAN KAV. 52-53 JAKARTA 12190,TOURISM & RECREATION,"HOTELS, RESORTS & CRUISE LINES",jihd@jihd.co.id,5152546,HOTEL AND TOURISM,JIHD,0010 0282 5605 4000,DEVELOPMENT,CONSUMER CYCLICALS,CONSUMER SERVICES,1984-02-29T00:00:00,5152516,http://www.jihd.co.id,/Portals/0/StaticData/ListedCompanies/LogoEmiten/JIHD.jpg,JAKARTA INTERNATIONAL HOTELS & DEVELOPMENT TBK
"KANTOR TAMAN BINTARO JAYA, GEDUNG B JL. BINTARO RAYA JAKARTA 12330",HEAVY CONSTRUCTIONS & CIVIL ENGINEERING,HEAVY CONSTRUCTIONS & CIVIL ENGINEERING,info@jayakonstruksi.com,7363959,JASA KONSTRUKSI,JKON,01.362.643.7-062.000,MAIN,INFRASTRUCTURES,HEAVY CONSTRUCTIONS & CIVIL ENGINEERING,2007-12-04T00:00:00,7363939; 7340260,www.jayakonstruksi.com,/Portals/0/StaticData/ListedCompanies/LogoEmiten/JKON.jpg,JAYA KONSTRUKSI MANGGALA PRATAMA TBK
WISMA MILLENIA LT. 7 JL. MT HARYONO KAV. 16 JAKARTA 12810,AGRICULTURAL PRODUCTS,"FISH, MEAT, & POULTRY",maya.pradjono@japfa.com; yakobus.sugeng@japfa.com; corsec@japfa.com,021-8310309,ANIMAL FEED,JPFA,01.002.845.4-092.000,MAIN,CONSUMER NON-CYCLICALS,FOOD & BEVERAGE,1989-10-23T00:00:00,021-28545680,http://www.japfacomfeed.co.id,/Portals/0/StaticData/ListedCompanies/LogoEmiten/JPFA.jpg,JAPFA COMFEED INDONESIA TBK
"CBD EMERALD BLOK CE/A NO. 01, BOULEVARD BINTARO JAYA, TANGERANG 15227",REAL ESTATE MANAGEMENT & DEVELOPMENT,REAL ESTATE DEVELOPMENT & MANAGEMENT,corporate@jayareal.co.id,021 - 745 3333,PROPERTY DAN REAL ESTATE,JRPT,01.001.076.7-054.000,DEVELOPMENT,PROPERTIES & REAL ESTATE,PROPERTIES & REAL ESTATE,1994-06-29T00:00:00,021 - 745 8888,www.jayaproperty.com,/Portals/0/StaticData/ListedCompanies/LogoEmiten/JRPT.jpg,JAYA REAL PROPERTY TBK
PLAZA TOL TAMAN MINI INDONESIA INDAH JAKARTA 13550,TRANSPORT INFRASTRUCTURE OPERATOR,HIGHWAYS & RAILTRACKS,investor.relations@jasamarga.co.id,021-8413540,PENGUSAHAAN JASA JALAN TOL,JSMR,01.001.675.6-093.000,MAIN,INFRASTRUCTURES,TRANSPORTATION INFRASTRUCTURE,2007-11-12T00:00:00,021-8413630; 021-8413526,www.jasamarga.com,/Portals/0/StaticData/ListedCompanies/LogoEmiten/JSMR.jpg,PT JASA MARGA TBK
"GEDUNG SETIABUDI 2, LT.3A, RUANG 3A01, JL. H.R. RASUNA SAID JAKARTA",TOURISM & RECREATION,"HOTELS, RESORTS & CRUISE LINES",corp_sec@jsi.co.id,"(021) 5207511, (021) 5255803",HOTEL AND TOURISM,JSPT,01.002.883.5-054.000,DEVELOPMENT,CONSUMER CYCLICALS,CONSUMER SERVICES,1998-01-12T00:00:00,"(021) 2520534, (021) 2521778",www.jsi.co.id,/Portals/0/StaticData/ListedCompanies/LogoEmiten/JSPT.jpg,JAKARTA SETIABUDI INTERNASIONAL TBK
JL. RAYA BETRO NO. 21 SEDATI - SIDOARJO,COMMERCIAL SERVICES,COMMERCIAL PRINTING,corporate.secretary@jasuindo.com,(031) 891-0928,MEDIA DAN PERCETAKAN,JTPE,0015312614054000,MAIN,INDUSTRIALS,INDUSTRIAL SERVICES,2002-04-16T00:00:00,(031) 891-0919,www.jasuindo.com,/Portals/0/StaticData/ListedCompanies/LogoEmiten/JTPE.jpg,JASUINDO TIGA PERKASA TBK
"JALAN VETERAN NO. 9, JAKARTA 10110",PHARMACEUTICALS,PHARMACEUTICALS,ipo@kimiafarma.co.id,"021-3454338, 3454339,",FARMASI,KAEF,01.001.627.7-051.000,DEVELOPMENT,HEALTHCARE,PHARMACEUTICALS & HEALTH CARE RESEARCH,2001-07-04T00:00:00,021-38477709,http://www.kimiafarma.co.id,/Portals/0/StaticData/ListedCompanies/LogoEmiten/KAEF.jpg,KIMIA FARMA TBK
"RUKO ENGGANO MEGAH BLOK C NO. 15B-15C, JL. RAYA ENGGANO, TANJUNG PRIOK, KOTA ADMINISTRASI JAKARTA UTARA, INDONESIA 14310",TRANSPORT INFRASTRUCTURE OPERATOR,MARINE PORTS & SERVICES,corsec.mjp@meratus.com,+62 21 65314711,"PENGEMBANGAN, PEMBANGUNAN, DAN PENGOPERASIAN SARANA DAN ATAU PRASARANA LOGISTIK MARITIM SERTA JASA-JASA YANG TERKAIT",KARW,0010 0076 3105 4000,WATCHLIST,INFRASTRUCTURES,TRANSPORTATION INFRASTRUCTURE,1994-12-20T00:00:00,+62 21 65314710,www.meratusjasaprima.com,/Portals/0/StaticData/ListedCompanies/LogoEmiten/KARW.jpg,MERATUS JASA PRIMA TBK
"JL. RAYA BEKASI KM 23,1 CAKUNG JAKARTA TIMUR 13910 TELP. 021-4601733 FAX. 021-4610593",ELECTRICAL,ELECTRICAL COMPONENTS & EQUIPMENT,madeyudana@kmi.co.id,-,INDUSTRI KABEL,KBLI,001.000.177.4-054.000,MAIN,INDUSTRIALS,INDUSTRIAL GOODS,1992-07-06T00:00:00,021-4601733,www.kmi.co.id,/Portals/0/StaticData/ListedCompanies/LogoEmiten/KBLI.jpg,KMI WIRE AND CABLE TBK
"JL. RAWAGIRANG NO. 2, KAWASAN INDUSTRI PULOGADUNG, JAKARTA TIMUR",ELECTRICAL,ELECTRICAL COMPONENTS & EQUIPMENT,corsec@kabelindo.co.id,"021-460-9064, 460-4271",INDUSTRI KABEL,KBLM,01.002.962.7-054.000,DEVELOPMENT,INDUSTRIALS,INDUSTRIAL GOODS,1992-06-01T00:00:00,"021-460-9065, 460-9550",www.kabelindo.co.id,/Portals/0/StaticData/ListedCompanies/LogoEmiten/KBLM.jpg,KABELINDO MURNI TBK
"LIPPO KUNINGAN LANTAI 17 JL. H.R. RASUNA SAID KAV. B12, KELURAHAN KARET KUNING, KECAMATAN SETIABUDI, JAKARTA 12920",TELECOMMUNICATION SERVICE,WIRED TELECOMMUNICATION SERVICE,corporate.secretary@firstmedia.co.id,-,TELEKOMUNIKASI & PENYEDIA KONTEN,KBLV,0017073040054000,DEVELOPMENT,INFRASTRUCTURES,TELECOMMUNICATION,2000-02-25T00:00:00,021-50610558,www.firstmedia.co.id,/Portals/0/StaticData/ListedCompanies/LogoEmiten/KBLV.jpg,FIRST MEDIA TBK
JL.MASTRIP 862 WARUGUNUNG-KARANGPILANG SURABAYA,CONTAINERS & PACKAGING,CONTAINERS & PACKAGING,corsec@kdsi-ind.com,(031) 7661981,"PULP, PAPER AND ENAMEL COATED",KDSI,01.132.928.1-054.000,DEVELOPMENT,BASIC MATERIALS,BASIC MATERIALS,1996-07-29T00:00:00,(031) 7661983,0,/Portals/0/StaticData/ListedCompanies/LogoEmiten/KDSI.jpg,KEDAWUNG SETIA INDUSTRIAL TBK
"KENCANA TOWER LANTAI 11, KEBON JERUK BUSINESS PARK, JL. RAYA MERUYA ILIR NO.88, JAKARTA BARAT 11620, INDONESIA",ELECTRIC UTILITIES,ELECTRIC UTILITIES,corporate.secretary@kencanaenergy.com,+62.21.386.7686,MENJALANKAN USAHA JASA DAN KETENAGALISTRIKAN MELALUI ANAK PERUSAHAAN,KEEN,02.750.932.2-086.000,MAIN,INFRASTRUCTURES,UTILITIES,2019-09-02T00:00:00,+62.21.5890.0791,www.kencanaenergy.com,/Portals/0/StaticData/ListedCompanies/LogoEmiten/KEEN.jpg,PT KENCANA ENERGI LESTARI TBK
KAWASAN BEKASI INTERNATIONAL INDUSTRIAL ESTATE JALAN INTI RAYA II BLOK C.7 NO. 5-A CIBATU CIKARANG SELATAN - BEKASI,PROCESSED FOODS,DAIRY PRODUCTS,corp.secretary@prochiz.co.id,021 – 8990 8485,INDUSTRI PENGOLAHAN PRODUK DARI SUSU LAINNYA,KEJU,02.589.590.5-431.00,DEVELOPMENT,CONSUMER NON-CYCLICALS,FOOD & BEVERAGE,2019-11-25T00:00:00,021 – 8990 8468,www.prochiz.com,/Portals/0/StaticData/ListedCompanies/LogoEmiten/KEJU.jpg,PT MULIA BOGA RAYA TBK
"GEDUNG META EPSI LANTAI 2 JL. MAYJEND D.I. PANJAITAN KAV. 2, JAKARTA TIMUR",TELECOMMUNICATION SERVICE,WIRED TELECOMMUNICATION SERVICE,hq@triasmitra.com,(021) 22085151,"PEMBANGUNAN, PENJUALAN DAN PEMELIHARAAN JARINGAN TELEKOMUNIKASI KABEL SERAT OPTIK",KETR,01.674.225.6-015.000,DEVELOPMENT,INFRASTRUCTURES,TELECOMMUNICATION,2021-01-11T00:00:00,(021) 22085100,www.triasmitra.com,/Portals/0/StaticData/ListedCompanies/LogoEmiten/KETR.jpg,PT KETROSDEN TRIASMITRA TBK
"GRAHA MOBISEL, LANTAI 3 JL. BUNCIT RAYA NO.139 KALIBATA, PANCORAN, JAKARTA SELATAN 12740",BUILDING PRODUCTS & FIXTURES,BUILDING PRODUCTS & FIXTURES,corsec@kiaceramics.com,(021) 3862374,BAHAN BANGUNAN KERAMIK,KIAS,01.001.688.9-054.000,WATCHLIST,INDUSTRIALS,INDUSTRIAL GOODS,1994-12-08T00:00:00,(021) 3506227,www.kiaceramics.com,/Portals/0/StaticData/ListedCompanies/LogoEmiten/KIAS.jpg,KERAMIKA INDONESIA ASSOSIASI TBK
"JL. RAYA RUNGKUT 15 - 17, SURABAYA 60293",HOUSEHOLD GOODS,HOUSEWARES & SPECIALTIES,kedawung@sby.centrin.net.id,(031) 8705212,INDUSTRI PERALATAN RUMAH TANGGA,KICI,01.133.212.9-054.000,DEVELOPMENT,CONSUMER CYCLICALS,HOUSEHOLD GOODS,1993-10-28T00:00:00,(031) 8700088,0,/Portals/0/StaticData/ListedCompanies/LogoEmiten/KICI.jpg,KEDAUNG INDAH CAN TBK
MENARA BATAVIA LT. 25 JL. K.H. MAS MANSYUR KAV. 126 JAKARTA 10220,REAL ESTATE MANAGEMENT & DEVELOPMENT,REAL ESTATE DEVELOPMENT & MANAGEMENT,corsec@jababeka.com,5727279,PROPERTY DAN REAL ESTATE,KIJA,01.067.835.7-054.000,MAIN,PROPERTIES & REAL ESTATE,PROPERTIES & REAL ESTATE,1995-01-10T00:00:00,5727337,www.jababeka.com,/Portals/0/StaticData/ListedCompanies/LogoEmiten/KIJA.jpg,KAWASAN INDUSTRI JABABEKA TBK
"KINO TOWER LT. 17 JL. JALUR SUTERA BOULEVARD NO. 01 PANUNGGANGAN TIMUR, PINANG KOTA TANGERANG 15143",PERSONAL CARE PRODUCTS,PERSONAL CARE PRODUCTS,corsec@kino.co.id,021-80821123,BERGERAK DALAM BIDANG USAHA INDUSTRI DAN PERDAGANGAN,KINO,01.853.207.7-441.000,DEVELOPMENT,CONSUMER NON-CYCLICALS,NONDURABLE HOUSEHOLD PRODUCTS,2015-12-11T00:00:00,021-80821100,www.kino.co.id,/Portals/0/StaticData/ListedCompanies/LogoEmiten/KINO.jpg,PT KINO INDONESIA TBK
"ALAYDRUS NO. 66 BC, KEL. PETOJO UTARA, KEC. GAMBIR, JAKARTA PUSAT",ONLINE APPLICATIONS & SERVICES,ONLINE APPLICATIONS & SERVICES,corsec@kioson.com,-,PERDAGANGAN ONLINE (E-COMMERCE) DAN TEKNOLOGI,KIOS,73.560.773.1-029.000,DEVELOPMENT,TECHNOLOGY,SOFTWARE & IT SERVICES,2017-10-05T00:00:00,+6221-6317523,https://kioson.app/,/Portals/0/StaticData/ListedCompanies/LogoEmiten/KIOS.jpg,PT KIOSON KOMERSIAL INDONESIA TBK
"JL KRAMAT RAYA NO. 140. RT.1/RW.1 KELURAHAN KENARI, KECAMATAN SENEN, JAKARTA PUSAT 10430",LOGISTICS & DELIVERIES,LOGISTICS & DELIVERIES,corpsec8899@gmail.com,31901331,KURIR ATAU JASA PENGIRIMAN BARANG,KJEN,01.877.001.6-023.000,DEVELOPMENT,TRANSPORTATION & LOGISTIC,LOGISTICS & DELIVERIES,2019-07-01T00:00:00,31901010,www.kjn.id,/Portals/0/StaticData/ListedCompanies/LogoEmiten/KJEN.jpg,PT KRIDA JARINGAN NUSANTARA TBK
GEDUNG BUMI RAYA UTAMA GROUP JL. PEMBANGUNAN I NO. 3 JAKARTA PUSAT,COAL,COAL PRODUCTION,info@raintbk.com; investor.relations@raintbk.com,021 - 6337006,PERTAMBANGAN BATU BARA,KKGI,001.110.655.6-091.000,MAIN,ENERGY,"OIL, GAS & COAL",1991-07-01T00:00:00,"021-633-30-36, 021 3952-55-30 ( Hunting )",www.raintbk.com,/Portals/0/StaticData/ListedCompanies/LogoEmiten/KKGI.jpg,RESOURCE ALAM INDONESIA TBK
GEDUNG KALBE LET.JEND SUPRATO KAV. 4 JAKARTA,PHARMACEUTICALS,PHARMACEUTICALS,info@kalbe.co.id,42873680,FARMASI,KLBF,01.001.836.4-092.000,MAIN,HEALTHCARE,PHARMACEUTICALS & HEALTH CARE RESEARCH,1991-07-30T00:00:00,42873888,www.kalbe.co.id,/Portals/0/StaticData/ListedCompanies/LogoEmiten/KLBF.jpg,KALBE FARMA TBK
"KOMPLEK PERGUDANGAN T8 NO. 16 ALAM SUTERA, SERPONG UTARA TANGERANG SELATAN 15325",FOOD & STAPLES RETAILING,FOOD RETAIL & DISTRIBUTORS,corporate@kmds.co.id,(021) 2904 7378,"PERDAGANGAN PRODUK BAHAN MAKANAN, MINUMAN, DAN PERALATAN PENUNJANGNYA SEPERTI MESIN KOPI, BLENDER, BESERTA SUKU CADANGNYA (SPAREPART)",KMDS,02.006.147.9-415.000,DEVELOPMENT,CONSUMER NON-CYCLICALS,FOOD & STAPLES RETAILING,2020-09-07T00:00:00,(021) 2235 3388,www.kmds.co.id,/Portals/0/StaticData/ListedCompanies/LogoEmiten/KMDS.jpg,PT KURNIAMITRA DUTA SENTOSA TBK
GEDUNG THE EAST LANTAI 21 JL. DR. IDE ANAK AGUNG GDE AGUNG KAV. E.3.2 NO.1 JAKARTA 12950,FORESTRY & PAPER,DIVERSIFIED FOREST,corporate@kiranamegatara.com,(021) 5794 7999,"USAHA DALAM BIDANG PERINDUSTRIAN, PERKEBUNAN, PERDAGANGAN, JASA DAN KONSULTAN, BAIK SECARA LANGSUNG MAUPUN TIDAK LANGSUNG MELALUI ANAK PERUSAHAAN.",KMTR,01.545.234.5-063.000,DEVELOPMENT,BASIC MATERIALS,BASIC MATERIALS,2017-06-19T00:00:00,(021) 5794 7988,www.kiranamegatara.com,/Portals/0/StaticData/ListedCompanies/LogoEmiten/KMTR.jpg,PT KIRANA MEGATARA TBK
"KOBEXINDO TOWER, JL. PASIR PUTIH RAYA BLOK E-5-D RT.000 RW.000 ANCOL, PADEMANGAN, JAKARTA UTARA, DKI JAKARTA, 14430",MACHINERY,CONSTRUCTION MACHINERY & HEAVY VEHICLES,corsec@kobexindo.com,"(021) 6470-0900, 6470-0909",BIDANG DISTRIBUSI DAN PERDAGANGAN ALAT BERAT DAN SUKU CADANGNYA SERTA JASA TERKAIT,KOBX,02.198.951.2-054.000,DEVELOPMENT,INDUSTRIALS,INDUSTRIAL GOODS,2012-07-05T00:00:00,"(021) 6470-0800, 6470-0808",www.kobexindo.com,/Portals/0/StaticData/ListedCompanies/LogoEmiten/KOBX.jpg,KOBEXINDO TRACTORS TBK
